2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3053,64, ,C1, 490 EAST 184TH STREET                     ,            ,10458,15,0,15,3 408,15 375,1913,  2 , C1 ,$1 175 000,11/13/2012
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 6D                 ",            ,10457,0,0,0,0,0,1941,  2 , D4 ,$27 000,11/26/2012
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2B,2924,36, ,S9, 4175 3 AVENUE                             ,            ,10457,6,2,8,2 400,7 124,1931,  2 , S9 ,$0,5/21/2013
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2A,3052,36, ,S4, 4559 3 AVENUE                             ,            ,10458,4,1,5,945,2 835,1931,  2 , S4 ,$0,5/13/2013
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2A,3052,38, ,S9, 4555 3 AVENUE                             ,            ,10458,2,3,5,2 050,3 497,1931,  2 , S9 ,$0,5/14/2013
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2900,10, ,K1, 1834 WEBSTER AVENUE                       ,            ,10457,0,1,1,5 740,11 480,1988,  4 , K1 ,$0,6/26/2013
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2918,16, ,K2, 470 EAST TREMONT AVENUE                   ,            ,10457,0,9,9,15 188,27 524,1920,  4 , K2 ,$0,3/12/2013
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3050,61, ,K4, 500 EAST 183RD STREET                     ,            ,10458,4,3,7,5 489,7 057,1900,  4 , K4 ,$466 154,11/20/2012
2,BATHGATE                 ,27  FACTORIES                               ,4,3029,37, ,F5, 420 EAST 180 STREET                       ,            ,10457,0,1,1,1 578,3 077,1997,  4 , F5 ,$0,2/21/2013
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2900,4, ,G9, 1820 WEBSTER AVENUE                       ,            ,10457,0,3,3,22 184,21 000,1925,  4 , G9 ,$3 100 000,11/7/2012
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2900,7, ,G2, 1828 WEBSTER AVENUE                       ,            ,10457,0,1,1,8 870,8 870,1925,  4 , G2 ,$0,6/26/2013
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2900,12, ,G9, 1838 WEBSTER AVE.                         ,            ,10457,0,2,2,8 444,1 600,1900,  4 , G9 ,$0,6/26/2013
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2907,33, ,G2, 1805 WASHINGTON AVENUE                    ,            ,10457,0,1,1,6 928,2 040,1963,  4 , G2 ,$195 000,9/25/2012
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3032,37, ,G7, PARK AVENUE                               ,            ,10458,0,0,0,9 375,0,0,  4 , G7 ,$0,2/7/2013
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3032,37, ,G7, PARK AVENUE                               ,            ,10458,0,0,0,9 375,0,0,  4 , G7 ,$945 000,1/24/2013
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3035,13, ,G7, 4282 PARK AVENUE                          ,            ,10457,0,0,0,4 135,0,0,  4 , G7 ,$0,3/15/2013
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2899,58, ,E7, 4077 PARK AVENUE                          ,            ,10457,0,7,7,9 180,48 000,1931,  4 , E7 ,$9 733 979,12/20/2012
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2922,2, ,V9, 1734 BATHGATE AVE                         ,            ,10457,0,0,0,108 560,0,0,  4 , V9 ,$3 500 000,5/2/2013
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2922,2, ,V9, 1734 BATHGATE AVE                         ,            ,10457,0,0,0,108 560,0,0,  4 , V9 ,$1,5/2/2013
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2922,2, ,V9, 1734 BATHGATE AVE                         ,            ,10457,0,0,0,108 560,0,0,  4 , V9 ,$1,5/2/2013
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3037,65, ,V1, 452 EAST 182ND STREET                     ,            ,10457,0,0,0,4 000,0,0,  4 , V1 ,$138 552,12/7/2012
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2899,50, ,Z9, 414 EAST 175 STREET                       ,            ,10457,0,0,0,5 410,0,0,  4 , Z9 ,$160 000,5/31/2013
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2918,22, ,Z9, 490 EAST TREMONT AVENUE                   ,            ,10457,0,0,0,3 375,11 680,1950,  4 , Z9 ,$370 000,5/10/2013
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2918,22, ,Z9, 490 EAST TREMONT AVENUE                   ,            ,10457,0,0,0,3 375,11 680,1950,  4 , Z9 ,$0,3/18/2013
